Predictor variable,Categorical,Sample average
Distance_from_land,false,78.64615384615385
Maximum_depth,false,1607.1948717948717
Mean_depth,false,883.0769230769231
Minimum_depth,false,291.7307692307692
Net_Primary_Production,false,7.056271925358436
Sea-bottom_dissolved_oxygen,false,206.79422658284506
Sea-bottom_salinity,false,35.57438923273331
Sea-bottom_temperature,false,16.21016110609739
Sea-surface_salinity,false,35.29520109616793
Sea-surface_temperature,false,26.25728154549232
Sea_Ice_Concentration,false,0.0
